"","hightemp01","hightemp02","normal01","normal02"
"AQUIFEX_01521",186.606032545078,165.01727282411,173.42985569791,203.332148658921
"AQUIFEX_01036",465.511823123205,487.099178818156,478.427188132167,442.546441198828
"AQUIFEX_01396",246.801526914458,180.922552132458,227.252914362779,225.260125475079
"AQUIFEX_00257",112.364922822843,149.111993515762,127.580583501911,138.544944429363
"AQUIFEX_01135",234.762428040582,214.721270662697,236.223424140257,194.361612688674
"AQUIFEX_00291",142.462670007533,168.993592651197,165.456069229041,147.515480399609
"AQUIFEX_00880",234.762428040582,204.78047109498,183.397088783997,195.358338907591
"AQUIFEX_01013",100.325823948967,125.25407455324,121.600243650259,101.66607432946
"AQUIFEX_00246",236.768944519561,253.490388976795,232.236530905823,264.132448012814
"AQUIFEX_00582",304.990504804858,262.437108587741,261.141506855474,241.20774497774
"AQUIFEX_00465",110.358406343863,145.135673688675,123.593690267476,131.567860896949
"AQUIFEX_00823",106.345373385905,101.396155590718,122.596966958868,129.574408459116
"AQUIFEX_00345",265.863433464761,279.336467852861,287.0563128793,247.188102291237
"AQUIFEX_01690",192.625581982016,196.827831440806,171.436409080693,171.4369096536
"AQUIFEX_01251",124.404021696719,95.4316758500876,116.616627107216,101.66607432946
"AQUIFEX_00416",240.78197747752,282.318707723176,261.141506855474,273.102983983061
"AQUIFEX_00573",186.606032545078,149.111993515762,173.42985569791,165.456552340102
"AQUIFEX_00253",513.668218618709,534.815016743199,526.269906945383,502.350014333805
"AQUIFEX_01237",886.880283708865,924.494359797724,908.014934142508,889.079787273321
"AQUIFEX_01523",282.918823536086,302.200306858611,304.997332434256,281.076793734391
"AQUIFEX_00971",126.410538175698,138.177113991273,162.465899303215,147.515480399609
"AQUIFEX_00316",128.417054654677,120.283674769381,146.518326365476,149.508932837442
"AQUIFEX_00542",323.049153115672,320.093746080502,299.016992582604,301.011318112716
"AQUIFEX_01455",88.2867250750906,109.348795244892,115.619903798607,93.6922645781303
"AQUIFEX_01146",367.192515653218,335.99902538885,334.899031692517,314.965485177544
"AQUIFEX_01406",138.449637049574,168.993592651197,159.475729377389,143.528575523944
"AQUIFEX_00383",92.2997580330493,113.325115071979,107.646117329738,73.7577401998047
"AQUIFEX_00788",123.400763457229,102.39023554749,113.62645718139,136.55149199153
"AQUIFEX_00557",98.3193074699873,119.28959481261,115.619903798607,93.6922645781303
"AQUIFEX_01571",133.433345852126,108.35471528812,119.606797033042,140.538396867195
"AQUIFEX_01510",120.39098873876,92.4494359797724,122.596966958868,101.66607432946
"AQUIFEX_00284",201.654906137423,178.934392218914,198.347938413127,177.417266967098
"AQUIFEX_00942",377.225098048114,385.703023227438,364.800730950777,350.84762905853
"AQUIFEX_01663",159.518060078857,172.969912478284,132.564200044955,180.407445623847
"AQUIFEX_01433",94.3062745120286,73.5619168011092,101.665777478085,75.7511926376372
"AQUIFEX_01090",319.036120157714,292.259507290893,293.036652730952,312.972032739712
"AQUIFEX_00235",116.377955780801,103.384315504262,95.6854376264334,81.7315499511349
"AQUIFEX_00981",563.831130593192,584.519014581787,548.197819734774,576.107754533609
"AQUIFEX_00735",266.866691704251,256.472628847111,246.190657226344,230.243756569661
"AQUIFEX_00915",491.596537349936,475.170219336895,464.473061811645,454.507155825823
"AQUIFEX_01033",519.687768055647,499.028138299417,504.341994155992,532.251800901293
"AQUIFEX_00805",567.844163551151,588.495334408874,575.109349067209,610.993172195679
"AQUIFEX_01597",106.345373385905,109.348795244892,85.7182045403465,87.7119072646326
"AQUIFEX_00949",94.3062745120286,126.248154510012,105.65267071252,121.600598707786
"AQUIFEX_01522",206.671197334871,206.768631008523,227.252914362779,239.214292539907
"AQUIFEX_00960",266.866691704251,226.650230143958,247.187380534953,237.220840102074
"AQUIFEX_01747",148.482219444471,159.052793083479,138.544539896607,120.60387248887
"AQUIFEX_00979",212.690746771809,190.863351700175,211.30534142504,191.371434031926
"AQUIFEX_00296",159.518060078857,139.171193948044,151.501942908519,126.584229802367
"AQUIFEX_00845",202.658164376913,199.810071311121,182.400365475389,161.469647464437
"AQUIFEX_00391",579.883262425027,630.246692593287,615.975004720165,609.996445976763
"AQUIFEX_01046",180.58648310814,200.804151267893,189.377428635649,211.305958410251
"AQUIFEX_01608",250.814559872416,230.626549971045,207.318448190606,235.227387664242
"AQUIFEX_00892",96.3127909910079,83.5027163688267,119.606797033042,103.659526767293
"AQUIFEX_00243",276.899274099148,312.141106426328,297.023545965387,277.089888858726
"AQUIFEX_00989",437.420592417494,431.430701238938,451.515658799732,458.494060701488
"AQUIFEX_01057",444.443400093922,507.974857910362,464.473061811645,448.526798512326
"AQUIFEX_00818",521.694284534626,465.229419769177,450.518935491124,470.454775328484
"AQUIFEX_00591",210.68423029283,242.555509452306,223.266021128344,243.201197415572
"AQUIFEX_00574",222.723329166706,248.519989192937,217.285681276692,237.220840102074
"AQUIFEX_00448",168.547384234264,188.875191786632,178.413472240954,198.34851756434
"AQUIFEX_01652",102.332340427946,77.5382366281962,87.7116511575639,107.646431642958
"AQUIFEX_00418",102.332340427946,79.5263965417397,75.7509714542597,95.6857170159628
"AQUIFEX_00784",196.638614939975,159.052793083479,167.449515846258,147.515480399609
